83	41.6	NAN	
83.25	41.6	NAN	
83.5	40.9	NAN	
83.75	40.9	NAN	
84	40.9	NAN	
84.25	40.9	NAN	
84.5	40.9	NAN	
84.75	39	NAN	
85	39	NAN	
85.25	39	NAN	
85.5	38.4	NAN	
85.75	38.4	NAN	
86	37.1	NAN	
86.25	37.1	NAN	
86.5	36.4	NAN	
86.75	36.4	NAN	
87	35.8	NAN	
87.25	35.8	NAN	
87.5	35.8	NAN	
87.75	35.8	NAN	
88	35.8	NAN	
88.25	35.8	NAN	
88.5	35.8	NAN	
88.75	35.8	NAN	
89	35.8	NAN	
89.25	36.4	NAN	
89.5	36.4	NAN	
89.75	37.1	NAN	
90	37.1	NAN	
90.25	37.1	NAN	
90.5	37.1	NAN	
90.75	39	NAN	
91	39	NAN	
91.25	39	NAN	
91.5	39	NAN	
91.75	39	NAN	
92	39	NAN	
92.25	39	NAN	
92.5	39	NAN	
92.75	40.9	NAN	
93	40.9	NAN	
93.25	40.9	NAN	
93.5	40.9	NAN	
93.75	40.9	NAN	
94	40.9	NAN	
94.25	40.9	NAN	
94.5	40.9	NAN	
94.75	39	NAN	
95	39	NAN	
95.25	39	NAN	
95.5	39	NAN	
95.75	39	NAN	
96	39	NAN	
96.25	39	NAN	
96.5	39	NAN	
96.75	37.1	NAN	
97	37.1	NAN	
97.25	37.1	NAN	
97.5	36.4	NAN	
97.75	36.4	NAN	
98	36.4	NAN	
98.25	36.4	NAN	
98.5	36.4	NAN	
98.75	36.4	NAN	
99	36.4	NAN	
99.25	37.1	NAN	
99.5	37.1	NAN	
99.75	37.1	NAN	
100	37.1	NAN	
100.25	37.1	NAN	
100.5	37.1	NAN	
100.75	37.1	NAN	
101	37.1	NAN	
101.25	39	NAN	
101.5	39	NAN	
101.75	39	NAN	
102	39	NAN	
102.25	39	NAN	
102.5	39	NAN	
102.75	39	NAN	
103	39	NAN	
103.25	39	NAN	
103.5	39	NAN	
103.75	39	NAN	
104	39	NAN	
104.25	39	NAN	
104.5	39	NAN	
104.75	39	NAN	
105	39	NAN	
105.25	39	NAN	
105.5	39	NAN	
105.75	39	NAN	
106	39	NAN	
106.25	39	NAN	
106.5	39	NAN	
106.75	39	NAN	
107	39	NAN	
107.25	39	NAN	
107.5	39	NAN	
107.75	37.1	NAN	
108	37.1	NAN	
108.25	37.1	NAN	
108.5	37.1	NAN	
108.75	37.1	NAN	
109	37.1	NAN	
109.25	37.1	NAN	
109.5	37.1	NAN	
109.75	37.1	NAN	
110	37.1	NAN	
110.25	37.1	NAN	
110.5	37.1	NAN	
110.75	37.1	NAN	
111	37.1	NAN	
111.25	39	NAN	
111.5	39	NAN	
111.75	39	NAN	
112	39	NAN	
112.25	39	NAN	
112.5	39	NAN	
112.75	39	NAN	
113	39	NAN	
113.25	39	NAN	
113.5	39	NAN	
113.75	39	NAN	
114	39	NAN	
114.25	39	NAN	
114.5	39	NAN	
114.75	39	NAN	
115	39	NAN	
115.25	39	NAN	
115.5	39	NAN	
115.75	39	NAN	
116	39	NAN	
116.25	39	NAN	
116.5	39	NAN	
116.75	39	NAN	
117	39	NAN	
117.25	39	NAN	
117.5	39	NAN	
117.75	39	NAN	
118	39	NAN	
118.25	39	NAN	
118.5	39	NAN	
118.75	39	NAN	
119	39	NAN	
119.25	39	NAN	
119.5	39	NAN	
119.75	39	NAN	
120	39	NAN	
120.25	39	NAN	
120.5	39	NAN	
120.75	39	NAN	
121	39	NAN	
121.25	39	NAN	
121.5	39	NAN	
121.75	39	NAN	
122	39	NAN	
122.25	39	NAN	
122.5	39	NAN	
122.75	39	NAN	
123	39	NAN	
123.25	39	NAN	
123.5	39	NAN	
123.75	39	NAN	
124	39	NAN	
124.25	39	NAN	
124.5	39	NAN	
124.75	39	NAN	
125	39	NAN	
125.25	39	NAN	
125.5	39	NAN	
125.75	39	NAN	
126	38.4	NAN	
126.25	38.4	NAN	
126.5	38.4	NAN	
126.75	38.4	NAN	
127	38.4	NAN	
127.25	38.4	NAN	
127.5	38.4	NAN	
127.75	38.4	NAN	
128	38.4	NAN	
128.25	38.4	NAN	
128.5	38.4	NAN	
128.75	38.4	NAN	
129	38.4	NAN	
129.25	38.4	NAN	
129.5	38.4	NAN	
129.75	38.4	NAN	
130	38.4	NAN	
130.25	38.4	NAN	
130.5	38.4	NAN	
130.75	38.4	NAN	
131	38.4	NAN	
131.25	38.4	NAN	
131.5	39	NAN	
131.75	39	NAN	
132	39	NAN	
132.25	39	NAN	
132.5	39	NAN	
132.75	39	NAN	
133	39	NAN	
133.25	39	NAN	
133.5	39	NAN	
133.75	39	NAN	
134.0000167	39	NAN	
134.2500167	39	NAN	
134.5000167	39	NAN	
134.7500167	39	NAN	
135.0000167	39	NAN	
135.2500167	39	NAN	
135.5000167	39	NAN	
135.7500167	39	NAN	
136.0000167	39	NAN	
136.2500167	39	NAN	
136.5000167	39	NAN	
136.7500167	39	NAN	
137.0000167	39	NAN	
137.2500167	39	NAN	
137.5000167	39	NAN	
137.7500167	39	NAN	
138.0000167	39	NAN	
138.2500167	39	NAN	
138.5000167	39	NAN	
138.7500167	39	NAN	
139.0000167	39	NAN	
139.2500167	39	NAN	
139.5000167	39	NAN	
139.7500167	39	NAN	
140.0000167	39	NAN	
140.2500167	39	NAN	
140.5000167	39	NAN	
140.7500167	39	NAN	
141.0000167	39	NAN	
141.2500167	39	NAN	
141.5000167	39	NAN	
141.7500167	39	NAN	
142.0000167	39	NAN	
142.2500167	39	NAN	
142.5000167	39	NAN	
142.7500167	39	NAN	
143.0000167	39	NAN	
143.2500167	39	NAN	
143.5000167	39	NAN	
143.7500167	39	NAN	
144.0000167	39	NAN	
144.2500167	39	NAN	
144.5000167	39	NAN	
144.7500167	39	NAN	
145.0000167	39	NAN	
145.2500167	39	NAN	
145.5000167	39	NAN	
145.7500167	39	NAN	
146.0000167	39	NAN	
146.2500167	39	NAN	
146.5000167	39	NAN	
146.7500167	39	NAN	
147.0000167	39	NAN	
147.2500167	39	NAN	
147.5000167	39	NAN	
147.7500167	39	NAN	
148.0000167	39	NAN	
148.2500167	39	NAN	
148.5000167	39	NAN	
148.7500167	39	NAN	
149.0000167	39	NAN	
149.2500167	39	NAN	
149.5000167	39	NAN	
149.7500167	39	NAN	
150.0000167	39	NAN	
150.2500167	39	NAN	
150.5000167	39	NAN	
150.7500167	39	NAN	
151.0000167	39	NAN	
151.2500167	39	NAN	
151.5000167	39	NAN	
151.7500167	39	NAN	
152.0000167	39	NAN	
152.2500167	39	NAN	
152.5000167	39	NAN	
152.7500167	39	NAN	
153.0000167	39	NAN	
153.2500167	39	NAN	
153.5000167	39	NAN	
153.7500167	39	NAN	
154.0000167	39	NAN	
154.2500167	39	NAN	
154.5000167	39	NAN	
154.7500167	39	NAN	
155.0000167	39	NAN	
155.2500167	39	NAN	
155.5000167	39	NAN	
155.7500167	39	NAN	
156.0000167	39	NAN	
156.2500167	39	NAN	
156.5000167	39	NAN	
156.7500167	39	NAN	
157.0000167	39	NAN	
157.2500167	39	NAN	
157.5000167	39	NAN	
157.7500167	39	NAN	
158.0000167	39	NAN	
158.2500167	39	NAN	
158.5000167	39	NAN	
158.7500167	39	NAN	
159.0000167	39	NAN	
159.2500167	39	NAN	
159.5000167	39	NAN	
159.7500167	39	NAN	
160.0000167	39	NAN	
160.2500167	39	NAN	
160.5000167	39	NAN	
160.7500167	39	NAN	
161.0000167	39	NAN	
161.2500167	39	NAN	
161.5000167	39	NAN	
161.7500167	39	NAN	
162.0000167	39	NAN	
162.2500167	39	NAN	
162.5000167	39	NAN	
162.7500167	39	NAN	
163.0000167	39	NAN	
163.2500167	39	NAN	
163.5000167	39	NAN	
163.7500167	39	NAN	
164.0000167	39	NAN	
164.2500167	39	NAN	
164.5000167	39	NAN	
164.7500167	39	NAN	
165.0000167	39	NAN	
165.2500167	39	NAN	
165.5000167	39	NAN	
165.7500167	39	NAN	
166.0000167	39	NAN	
166.2500167	39	NAN	
166.5000167	39	NAN	
166.7500167	39	NAN	
167.0000167	39	NAN	
167.2500167	39	NAN	
167.5000167	39	NAN	
167.7500167	39	NAN	
168.0000167	39	NAN	
168.2500167	39	NAN	
168.5000167	39	NAN	
168.7500167	39	NAN	
169.0000167	39	NAN	
169.2500167	39	NAN	
169.5000167	39	NAN	
169.7500167	39	NAN	
